Date;Open;High;Low;Close;Pivot;Resistance 1;Support 1;Resistance 2;Support 2;Resistance 3;Support 3;CPR Pivot;CPR BC;CPR TC
Fri Sep 27 2024 10:40:00 GMT+0530 (India Standard Time);56.15;56.25;53.9;54.3;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:41:00 GMT+0530 (India Standard Time);54.25;54.65;53.25;54.25;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:42:00 GMT+0530 (India Standard Time);54.35;56.75;54.35;56.2;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:43:00 GMT+0530 (India Standard Time);56.25;56.6;54.25;54.35;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:44:00 GMT+0530 (India Standard Time);54.45;55.3;54.25;55.2;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:45:00 GMT+0530 (India Standard Time);55.25;55.8;54.55;54.8;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:46:00 GMT+0530 (India Standard Time);54.85;54.9;53.4;53.55;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:47:00 GMT+0530 (India Standard Time);53.85;54.5;53.55;54.1;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:48:00 GMT+0530 (India Standard Time);54.2;54.6;54;54.2;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:49:00 GMT+0530 (India Standard Time);54.1;54.9;53.55;54.5;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:50:00 GMT+0530 (India Standard Time);54.5;55.6;54.3;55.4;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:51:00 GMT+0530 (India Standard Time);55.35;55.7;54.85;54.9;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:52:00 GMT+0530 (India Standard Time);54.8;55.6;54.65;55.25;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:53:00 GMT+0530 (India Standard Time);55.25;55.7;55.15;55.5;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:54:00 GMT+0530 (India Standard Time);55.5;55.55;54.75;55.45;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:55:00 GMT+0530 (India Standard Time);55.4;55.85;55;55.65;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:56:00 GMT+0530 (India Standard Time);55.65;56.5;55.2;55.95;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:57:00 GMT+0530 (India Standard Time);55.9;56.15;52.35;52.35;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:58:00 GMT+0530 (India Standard Time);52.05;52.7;48.15;52;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:59:00 GMT+0530 (India Standard Time);52;53;51.2;52.95;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:00:00 GMT+0530 (India Standard Time);52.7;54.3;52.65;53.35;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:01:00 GMT+0530 (India Standard Time);53.35;53.8;51.7;52.1;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:02:00 GMT+0530 (India Standard Time);52.1;52.8;51.4;51.4;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:03:00 GMT+0530 (India Standard Time);51.35;51.85;50.35;51;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:04:00 GMT+0530 (India Standard Time);51.05;52.05;51;51.3;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:05:00 GMT+0530 (India Standard Time);51.35;51.45;50.35;51.1;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:06:00 GMT+0530 (India Standard Time);51.1;51.8;50.8;51.25;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:07:00 GMT+0530 (India Standard Time);51.25;51.25;47.8;48.35;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:08:00 GMT+0530 (India Standard Time);48.3;50.35;47.7;50;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
